Date,Open,High,Low,Close,Adj Close,Volume
2016-05-02,50.279999,50.700001,50.150002,50.590000,42.997078,14780300
2016-05-03,49.860001,50.130001,49.540001,50.000000,42.495625,16246400
2016-05-04,49.060001,49.270000,48.680000,48.939999,41.913258,22402500
2016-05-05,48.970001,49.189999,48.770000,48.959999,41.930393,15953600
2016-05-06,48.709999,49.119999,48.650002,49.020000,41.981777,14189600
2016-05-09,49.020000,49.220001,48.810001,48.880001,41.861877,13877000
2016-05-10,49.000000,49.509998,49.000000,49.400002,42.307213,14234400
2016-05-11,49.360001,49.720001,49.080002,49.080002,42.033157,17344300
2016-05-12,49.340000,49.580002,49.049999,49.200001,42.135929,13589600
2016-05-13,49.099998,49.430000,48.209999,48.240002,41.313766,25251700
2016-05-16,48.119999,48.630001,47.939999,48.270000,41.339451,19655300
2016-05-17,48.139999,48.169998,47.549999,47.619999,40.782784,21495600
2016-05-18,47.680000,48.720001,47.619999,48.650002,41.664906,30028200
2016-05-19,48.439999,48.959999,48.160000,48.380001,41.433666,13604100
2016-05-20,48.619999,49.209999,48.560001,48.750000,41.750538,13222800
2016-05-23,48.759998,48.880001,48.349998,48.700001,41.707722,10644000
2016-05-24,49.049999,49.369999,48.689999,49.200001,42.135929,16597700
2016-05-25,49.580002,50.830002,49.509998,50.500000,43.249275,22478600
2016-05-26,50.520000,50.660000,50.400002,50.549999,43.292095,14983300
2016-05-27,50.599998,50.860001,50.490002,50.849998,43.549019,13430500
2016-05-31,51.020000,51.189999,50.490002,50.720001,43.437695,19725000
2016-06-01,50.259998,51.040001,50.169998,51.000000,43.677490,16774300
2016-06-02,50.959999,51.110001,50.709999,51.110001,43.771702,14206700
2016-06-03,50.169998,50.310001,49.610001,50.189999,42.983784,25452600
2016-06-06,50.240002,50.869999,50.189999,50.490002,43.240711,14528500
2016-06-07,50.730000,50.730000,50.270000,50.270000,43.052299,15310100
2016-06-08,50.250000,50.439999,49.740002,50.000000,42.821064,18168500
2016-06-09,49.650002,49.680000,48.849998,49.139999,42.084545,19464400
2016-06-10,48.490002,48.709999,48.169998,48.340000,41.399406,16815300
2016-06-13,48.130001,48.509998,47.959999,47.970001,41.082531,16150100
2016-06-14,47.860001,48.119999,46.509998,46.880001,40.149033,25311700
2016-06-15,47.270000,47.560001,46.740002,46.779999,40.063393,20142000
2016-06-16,46.470001,46.860001,45.959999,46.849998,40.123333,15619300
2016-06-17,46.849998,47.000000,46.520000,46.599998,39.909233,25661300
2016-06-20,47.490002,47.900002,46.919998,46.930000,40.191856,19490100
2016-06-21,47.290001,47.340000,46.770000,47.230000,40.448776,11731600
2016-06-22,47.150002,47.580002,46.930000,46.970001,40.226116,17072100
2016-06-23,47.639999,47.910000,47.389999,47.910000,41.031151,16270000
2016-06-24,45.759998,46.970001,45.279999,45.709999,39.147011,46744100
2016-06-27,45.200001,45.330002,44.500000,45.009998,38.547520,35030100
2016-06-28,45.889999,46.110001,45.340000,46.099998,39.481014,27525700
2016-06-29,46.630001,46.990002,46.150002,46.970001,40.226116,20856400
2016-06-30,47.240002,47.360001,46.529999,47.330002,40.534420,22538800
2016-07-01,47.080002,47.279999,46.860001,47.029999,40.277500,19013600
2016-07-05,46.700001,46.759998,45.810001,46.209999,39.575233,22213000
2016-07-06,45.889999,46.660000,45.700001,46.650002,39.952053,19024100
2016-07-07,46.580002,47.220001,46.439999,46.799999,40.080517,17946200
2016-07-08,47.450001,47.919998,47.450001,47.790001,40.928387,19775700
2016-07-11,48.099998,48.450001,47.939999,48.080002,41.176739,16008700
2016-07-12,48.419998,48.630001,48.220001,48.349998,41.407970,15067900
2016-07-13,48.310001,48.470001,47.980000,48.270000,41.339451,14389600
2016-07-14,49.049999,49.150002,48.669998,48.939999,41.913258,17578400
2016-07-15,48.849998,48.880001,47.410000,47.709999,40.859875,35121000
2016-07-18,47.810001,48.330002,47.779999,48.279999,41.348015,24139200
2016-07-19,48.080002,48.549999,48.049999,48.369999,41.425102,15982900
2016-07-20,48.590000,48.689999,48.400002,48.610001,41.630642,16569900
2016-07-21,48.650002,48.810001,48.290001,48.299999,41.365154,15532000
2016-07-22,48.320000,48.360001,48.099998,48.320000,41.382275,13588500
2016-07-25,48.240002,48.259998,47.849998,48.119999,41.210991,12122200
2016-07-26,48.029999,48.169998,47.799999,47.970001,41.082531,16130100
2016-07-27,47.950001,48.220001,47.779999,48.000000,41.108231,17886800
2016-07-28,47.939999,48.220001,47.680000,48.130001,41.219563,12562600
2016-07-29,47.950001,48.169998,47.950001,47.970001,41.082531,13111700
2016-08-01,47.980000,48.049999,47.630001,47.810001,40.945507,16026600
2016-08-02,47.660000,47.830002,47.389999,47.700001,40.851299,17033100
2016-08-03,47.330002,47.639999,47.330002,47.570000,41.067120,14913500
2016-08-04,47.599998,48.000000,47.570000,47.840000,41.300217,14662600
2016-08-05,48.389999,48.700001,48.130001,48.680000,42.025391,19064700
2016-08-08,48.779999,49.049999,48.740002,48.910000,42.223949,14871600
2016-08-09,49.020000,49.150002,48.810001,48.930000,42.241207,10449800
2016-08-10,48.820000,48.930000,48.080002,48.180000,41.593735,16782700
2016-08-11,48.230000,48.500000,47.919998,48.240002,41.645535,14614100
2016-08-12,48.049999,48.080002,47.830002,47.900002,41.352009,13227500
2016-08-15,48.049999,48.340000,48.029999,48.270000,41.671432,11758900
2016-08-16,48.160000,48.599998,48.060001,48.439999,41.818195,13957600
2016-08-17,48.369999,48.660000,48.310001,48.610001,41.964954,13062900
2016-08-18,48.500000,48.660000,48.330002,48.529999,41.895885,12189200
2016-08-19,48.439999,48.730000,48.200001,48.650002,41.999496,12557700
2016-08-22,48.639999,48.740002,48.500000,48.630001,41.982224,9212600
2016-08-23,48.639999,48.750000,48.389999,48.410000,41.792290,15430200
2016-08-24,48.500000,48.770000,48.349998,48.630001,41.982224,16315800
2016-08-25,48.619999,48.689999,48.299999,48.380001,41.766384,13643200
2016-08-26,48.580002,48.840000,48.279999,48.509998,41.878620,15527300
2016-08-29,48.750000,49.750000,48.689999,49.560001,42.785088,21201400
2016-08-30,49.730000,50.639999,49.680000,50.619999,43.700176,25055800
2016-08-31,50.700001,50.919998,50.240002,50.799999,43.855576,24533600
2016-09-01,50.919998,51.000000,50.110001,50.430000,43.536163,17017100
2016-09-02,50.450001,50.660000,50.180000,50.549999,43.639751,12684000
2016-09-06,50.560001,50.570000,49.630001,49.990002,43.156307,21832200
2016-09-07,49.790001,50.029999,49.650002,49.770000,42.966381,12437300
2016-09-08,49.810001,49.990002,49.560001,49.900002,43.078606,14169200
2016-09-09,49.490002,49.860001,48.720001,48.720001,42.059914,32147200
2016-09-12,48.369999,48.639999,47.980000,48.540001,41.904518,35588400
2016-09-13,47.799999,47.860001,46.520000,46.959999,40.540512,59000500
2016-09-14,47.080002,47.580002,46.500000,46.520000,40.160660,44841700
2016-09-15,46.119999,46.349998,45.189999,46.150002,39.841236,60827800
2016-09-16,45.700001,45.869999,45.250000,45.430000,39.219666,51871400
2016-09-19,45.619999,46.290001,45.480000,46.009998,39.720379,33562400
2016-09-20,47.150002,47.200001,46.119999,46.560001,40.195194,51510400
2016-09-21,46.509998,46.540001,45.330002,45.830002,39.564987,64530200
